ts_utc,dex,pool,program_id,tick_spacing,fee_ppm,fee_bps,protocol_fee_ppm,liquidity_u128,sqrt_price_x64,tick_current,mintA,decA,symbolA,mintB,decB,symbolB,base_mint,base_decimals,base_symbol,quote_mint,quote_decimals,quote_symbol,usd_per_quote,mid_usd_per_base,usd_notional,buy_px_usd_per_base,sell_px_usd_per_base,roundtrip_bps,fee_bps_total,impact_bps_total,buy_out_base,sell_in_base,buy_fee_quote,sell_fee_base
2025-10-20T14:39:09.445Z,meteora,HbjYfcWZBjCBYTJpZkLGxqArVmZVu3mQcRudb6Wg1sVh,LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo,20,400000,80,0,,,-1930,,,,,,,pumpCmXqMfrsAkQ5r49WcJnRayYRqmXz6ae8H7H9Dfn,6,PUMP,So11111111111111111111111111111111111111112,9,SOL,191.49962125497072,0.00405009643472798,25000,0.004062375396539341,0.004029745123103478,160.56665800861254,80,80.56665800861252,6154034.908073,6203866.308236,,
2025-10-20T14:39:09.570Z,meteora,HbjYfcWZBjCBYTJpZkLGxqArVmZVu3mQcRudb6Wg1sVh,LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo,20,400000,80,0,,,-1930,,,,,,,pumpCmXqMfrsAkQ5r49WcJnRayYRqmXz6ae8H7H9Dfn,6,PUMP,So11111111111111111111111111111111111111112,9,SOL,191.49962125497072,0.00405009643472798,50000,0.004064389555450955,0.0040216730440205605,185.47035637007866,80,105.47035637007865,12301970.398714,12432636.729219,,
2025-10-20T14:39:09.695Z,meteora,HbjYfcWZBjCBYTJpZkLGxqArVmZVu3mQcRudb6Wg1sVh,LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo,20,400000,80,0,,,-1930,,,,,,,pumpCmXqMfrsAkQ5r49WcJnRayYRqmXz6ae8H7H9Dfn,6,PUMP,So11111111111111111111111111111111111111112,9,SOL,191.49962125497072,0.00405009643472798,100000,0.0040707034172845725,0.004005911015998519,239.97742851376046,80,159.97742851376046,24565778.871384,24963110.663374,,
2025-10-20T14:39:09.828Z,meteora,HbjYfcWZBjCBYTJpZkLGxqArVmZVu3mQcRudb6Wg1sVh,LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo,20,400000,80,0,,,-1930,,,,,,,pumpCmXqMfrsAkQ5r49WcJnRayYRqmXz6ae8H7H9Dfn,6,PUMP,So11111111111111111111111111111111111111112,9,SOL,191.49962125497072,0.00405009643472798,500000,0.00432364168188579,0.003854884864702491,1237.3966811355253,80,1157.3966811355253,115643255.567358,129705559.971008,,
2025-10-20T14:39:25.279Z,meteora,C8Gr6AUuq9hEdSYJzoEpNcdjpojPZwqG5MtQbeouNNwg,LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo,80,300000,60,0,,,81,,,,,,,JUPyiwrYJFskUPiHa7hkeR8VUtAeFoSYbKedZNsDvCN,6,JUP,So11111111111111111111111111111111111111112,9,SOL,191.49962125497072,0.36514976059135096,10,0.36864163226257196,0.3646020286821478,170.62867941860674,60,110.62867941860672,27.126616,27.427165,,
2025-10-20T14:39:25.405Z,meteora,C8Gr6AUuq9hEdSYJzoEpNcdjpojPZwqG5MtQbeouNNwg,LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo,80,300000,60,0,,,81,,,,,,,JUPyiwrYJFskUPiHa7hkeR8VUtAeFoSYbKedZNsDvCN,6,JUP,So11111111111111111111111111111111111111112,9,SOL,191.49962125497072,0.36514976059135096,25,0.36864162682670587,0.36460203134084057,170.62845774082598,60,110.62845774082598,67.816541,68.567912,,
2025-10-20T14:39:25.531Z,meteora,C8Gr6AUuq9hEdSYJzoEpNcdjpojPZwqG5MtQbeouNNwg,LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo,80,300000,60,0,,,81,,,,,,,JUPyiwrYJFskUPiHa7hkeR8VUtAeFoSYbKedZNsDvCN,6,JUP,So11111111111111111111111111111111111111112,9,SOL,191.49962125497072,0.36514976059135096,50,0.3686416186729071,0.36460203399953345,170.62816162967403,60,110.62816162967403,135.633085,137.135823,,
2025-10-20T14:39:25.655Z,meteora,C8Gr6AUuq9hEdSYJzoEpNcdjpojPZwqG5MtQbeouNNwg,LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo,80,300000,60,0,,,81,,,,,,,JUPyiwrYJFskUPiHa7hkeR8VUtAeFoSYbKedZNsDvCN,6,JUP,So11111111111111111111111111111111111111112,9,SOL,191.49962125497072,0.36514976059135096,100,0.36864161731394074,0.3646020353288799,170.6280880074746,60,110.62808800747459,271.266171,274.271645,,
2025-10-20T14:39:25.779Z,meteora,C8Gr6AUuq9hEdSYJzoEpNcdjpojPZwqG5MtQbeouNNwg,LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo,80,300000,60,0,,,81,,,,,,,JUPyiwrYJFskUPiHa7hkeR8VUtAeFoSYbKedZNsDvCN,6,JUP,So11111111111111111111111111111111111111112,9,SOL,191.49962125497072,0.36514976059135096,250,0.36864161649856086,0.36460203559474913,170.62805839636138,60,110.62805839636137,678.165429,685.679112,,
2025-10-20T14:39:25.908Z,meteora,C8Gr6AUuq9hEdSYJzoEpNcdjpojPZwqG5MtQbeouNNwg,LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo,80,300000,60,0,,,81,,,,,,,JUPyiwrYJFskUPiHa7hkeR8VUtAeFoSYbKedZNsDvCN,6,JUP,So11111111111111111111111111111111111111112,9,SOL,191.49962125497072,0.36514976059135096,500,0.3686416162267676,0.36460203559474913,170.62805095302485,60,110.62805095302485,1356.330859,1371.358224,,
2025-10-20T14:39:26.033Z,meteora,C8Gr6AUuq9hEdSYJzoEpNcdjpojPZwqG5MtQbeouNNwg,LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo,80,300000,60,0,,,81,,,,,,,JUPyiwrYJFskUPiHa7hkeR8VUtAeFoSYbKedZNsDvCN,6,JUP,So11111111111111111111111111111111111111112,9,SOL,191.49962125497072,0.36514976059135096,1000,0.3686416160908709,0.36460203586061846,170.6280399502514,60,110.6280399502514,2712.661719,2742.716446,,
2025-10-20T14:39:26.158Z,meteora,C8Gr6AUuq9hEdSYJzoEpNcdjpojPZwqG5MtQbeouNNwg,LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo,80,300000,60,0,,,81,,,,,,,JUPyiwrYJFskUPiHa7hkeR8VUtAeFoSYbKedZNsDvCN,6,JUP,So11111111111111111111111111111111111111112,9,SOL,191.49962125497072,0.36514976059135096,2500,0.3686416159549743,0.3646020359137923,170.6280347723627,60,110.62803477236271,6781.6543,6856.791114,,
2025-10-20T14:39:26.283Z,meteora,C8Gr6AUuq9hEdSYJzoEpNcdjpojPZwqG5MtQbeouNNwg,LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo,80,300000,60,0,,,81,,,,,,,JUPyiwrYJFskUPiHa7hkeR8VUtAeFoSYbKedZNsDvCN,6,JUP,So11111111111111111111111111111111111111112,9,SOL,191.49962125497072,0.36514976059135096,5000,0.36864161592779493,0.3646020359137923,170.62803402802786,60,110.62803402802784,13563.308601,13713.582228,,
2025-10-20T14:39:26.407Z,meteora,C8Gr6AUuq9hEdSYJzoEpNcdjpojPZwqG5MtQbeouNNwg,LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo,80,300000,60,0,,,81,,,,,,,JUPyiwrYJFskUPiHa7hkeR8VUtAeFoSYbKedZNsDvCN,6,JUP,So11111111111111111111111111111111111111112,9,SOL,191.49962125497072,0.36514976059135096,10000,0.36864161592779493,0.3646020359403792,170.6280332999184,60,110.62803329991839,27126.617202,27427.164454,,
